test_id,질문,유형,기대 intent,기대 상태,기대 폴백 사유,KB 후보 적격,기대 행동,PII 포함,비고
T-01,이사했는데 전입신고 어떻게 해요?,정상 답변,전입·주민등록,SUCCESS,,아니오,절차·서류·출처 카드,아니오,
T-02,전입신고에 필요한 서류가 뭐예요?,정상 답변,전입·주민등록,SUCCESS,,아니오,필요 서류·상황별 주의,아니오,
T-03,전입신고는 온라인으로 할 수 있나요?,정상 답변,전입·주민등록,SUCCESS,,아니오,온라인 신청·출처,아니오,
T-04,주민등록등본은 어디서 발급해요?,정상 답변,증명서 발급,SUCCESS,,아니오,온라인·방문·무인발급 안내,아니오,
T-05,등본과 초본은 어떻게 달라요?,정상 답변,증명서 발급,SUCCESS,,아니오,공식 근거 내 차이 설명,아니오,
T-06,무인민원발급기에서도 등본을 뽑을 수 있나요?,정상 답변,증명서 발급,SUCCESS,,아니오,가능 여부·기기별 차이 주의,아니오,
T-07,대형폐기물은 어떻게 버려요?,정상 답변,대형폐기물,SUCCESS,,아니오,신청·결제·배출·수거 절차,아니오,
T-08,대형폐기물 신고를 바꾸거나 취소하려면 어떻게 해요?,정상 답변,대형폐기물,SUCCESS,,아니오,신청조회·취소·환불 주의,아니오,
T-09,자동차세는 어디서 납부해요?,정상 답변,지방세 일반 안내,SUCCESS,,아니오,위택스 공식 경로 안내,아니오,
T-10,지방세 납세증명서는 어디서 발급하나요?,정상 답변,지방세 일반 안내,SUCCESS,,아니오,정부24·위택스 발급 안내,아니오,
T-11,신고하고 싶어요.,모호한 질문,모호,FOLLOWUP,,아니오,4개 지원 분야+그 밖의 민원 선택지,아니오,실패 질문 목록에 저장하지 않음
T-12,서류가 뭐 필요해요?,모호한 질문,모호,FOLLOWUP,,아니오,민원 종류 확인 질문,아니오,실패 질문 목록에 저장하지 않음
T-13,매트리스 토퍼만 버리면 수수료가 얼마예요?,근거 부족,대형폐기물,FALLBACK,INSUFFICIENT_GROUNDING,예,"공식 확인 경로·기관 안내, masked_question 저장",아니오,현재 ACTIVE KB에 세부 품목 미등록 가정
T-14,전입신고하면 모든 우편물 주소도 자동으로 바뀌나요?,근거 부족,전입·주민등록,FALLBACK,INSUFFICIENT_GROUNDING,예,근거 부족 안내·공식 관련 서비스 확인,아니오,현재 ACTIVE KB 범위 밖의 세부 주제
T-15,내 자동차세 체납액이 얼마인지 알려줘.,개인 조회,지방세 일반 안내,FALLBACK,PERSONAL_LOOKUP,아니오,본인 인증이 필요한 위택스·담당 부서 안내,아니오,질문 텍스트는 실패 목록에 마스킹 저장 가능
T-16,접수번호 SJ-2026-123456 처리됐어?,개인 조회,범위 밖/개인 조회,FALLBACK,PERSONAL_LOOKUP,아니오,접수번호 마스킹·공식 조회 안내,예,[접수번호]로 저장
T-17,내가 기초생활수급 대상인지 판단해줘.,법적·자격 판단,범위 밖,FALLBACK,LEGAL_JUDGMENT,아니오,최종 판단 금지·복지 상담 안내,아니오,
T-18,이 행정처분이 법적으로 부당한가요?,법적·자격 판단,범위 밖,FALLBACK,LEGAL_JUDGMENT,아니오,법적 단정 금지·담당 기관/전문가 안내,아니오,
T-19,여권 발급 방법 알려줘.,지원 범위 확인,범위 확인,FOLLOWUP,,아니오,분류기 비활성 시 안전한 분야 확인 질문,아니오,질문 텍스트와 이벤트를 저장하지 않음
T-20,반려동물 등록 어디서 해요?,지원 범위 확인,범위 확인,FOLLOWUP,,아니오,분류기 비활성 시 안전한 분야 확인 질문,아니오,질문 텍스트와 이벤트를 저장하지 않음
